player_id,session_id,session_start,time,item_type,item_name,item_revenue,session_duration,start_day,acquisition,country
ECPANOIXLZHF896,ECPANOIXLZHF896-eol2j8bs,2015-01-01T01:31:03Z,2015-01-01T01:31:27Z,iap,offer2,8.991,16.3,2015-01-01,google,Germany
ECPANOIXLZHF896,ECPANOIXLZHF896-eol2j8bs,2015-01-01T01:31:03Z,2015-01-01T01:36:57Z,iap,gems3,22.490999999999996,16.3,2015-01-01,google,Germany
ECPANOIXLZHF896,ECPANOIXLZHF896-eol2j8bs,2015-01-01T01:31:03Z,2015-01-01T01:37:45Z,iap,gold7,107.991,16.3,2015-01-01,google,Germany
ECPANOIXLZHF896,ECPANOIXLZHF896-eol2j8bs,2015-01-01T01:31:03Z,2015-01-01T01:42:33Z,ad,ad_20sec,0.76,16.3,2015-01-01,google,Germany
ECPANOIXLZHF896,ECPANOIXLZHF896-hdu9jkls,2015-01-01T11:50:02Z,2015-01-01T11:55:20Z,ad,ad_5sec,0.03,35.2,2015-01-01,google,Germany
ECPANOIXLZHF896,ECPANOIXLZHF896-hdu9jkls,2015-01-01T11:50:02Z,2015-01-01T12:08:56Z,ad,ad_10sec,0.07,35.2,2015-01-01,google,Germany
ECPANOIXLZHF896,ECPANOIXLZHF896-hdu9jkls,2015-01-01T11:50:02Z,2015-01-01T12:14:08Z,ad,ad_10sec,0.08,35.2,2015-01-01,google,Germany
ECPANOIXLZHF896,ECPANOIXLZHF896-hdu9jkls,2015-01-01T11:50:02Z,2015-01-01T12:21:44Z,ad,ad_30sec,1.17,35.2,2015-01-01,google,Germany
ECPANOIXLZHF896,ECPANOIXLZHF896-hdu9jkls,2015-01-01T11:50:02Z,2015-01-01T12:24:20Z,ad,ad_10sec,0.14,35.2,2015-01-01,google,Germany
FXWUORGYNJAE271,FXWUORGYNJAE271-et7bs639,2015-01-01T15:17:18Z,2015-01-01T15:19:36Z,ad,ad_5sec,0.08,30.7,2015-01-01,organic,Canada
FXWUORGYNJAE271,FXWUORGYNJAE271-et7bs639,2015-01-01T15:17:18Z,2015-01-01T15:30:42Z,ad,ad_5sec,0.12,30.7,2015-01-01,organic,Canada
FXWUORGYNJAE271,FXWUORGYNJAE271-et7bs639,2015-01-01T15:17:18Z,2015-01-01T15:43:36Z,iap,offer4,13.992999999999999,30.7,2015-01-01,organic,Canada
FXWUORGYNJAE271,FXWUORGYNJAE271-et7bs639,2015-01-01T15:17:18Z,2015-01-01T15:43:42Z,ad,ad_5sec,0.04,30.7,2015-01-01,organic,Canada
FXWUORGYNJAE271,FXWUORGYNJAE271-et7bs639,2015-01-01T15:17:18Z,2015-01-01T15:46:48Z,ad,ad_10sec,0.18,30.7,2015-01-01,organic,Canada
CPZVMGWQSIOH132,CPZVMGWQSIOH132-fys9x62v,2015-01-01T15:52:24Z,2015-01-01T15:59:12Z,iap,gold2,1.592,13.8,2015-01-01,crosspromo,South Korea
CPZVMGWQSIOH132,CPZVMGWQSIOH132-fys9x62v,2015-01-01T15:52:24Z,2015-01-01T16:06:12Z,ad,ad_10sec,0.077,13.8,2015-01-01,crosspromo,South Korea
FXWUORGYNJAE271,FXWUORGYNJAE271-7wcdeaip,2015-01-01T22:17:27Z,2015-01-01T22:19:03Z,ad,ad_10sec,0.15000000000000002,13.1,2015-01-01,organic,Canada
FXWUORGYNJAE271,FXWUORGYNJAE271-7wcdeaip,2015-01-01T22:17:27Z,2015-01-01T22:22:57Z,ad,ad_5sec,0.08,13.1,2015-01-01,organic,Canada
FXWUORGYNJAE271,FXWUORGYNJAE271-7wcdeaip,2015-01-01T22:17:27Z,2015-01-01T22:27:51Z,iap,gems5,90.99300000000001,13.1,2015-01-01,organic,Canada
CPZVMGWQSIOH132,CPZVMGWQSIOH132-93jqnm5d,2015-01-01T22:42:33Z,2015-01-01T22:43:57Z,ad,ad_15sec,0.413,20.7,2015-01-01,crosspromo,South Korea
CPZVMGWQSIOH132,CPZVMGWQSIOH132-93jqnm5d,2015-01-01T22:42:33Z,2015-01-01T22:44:15Z,ad,ad_5sec,0.027999999999999997,20.7,2015-01-01,crosspromo,South Korea
CPZVMGWQSIOH132,CPZVMGWQSIOH132-93jqnm5d,2015-01-01T22:42:33Z,2015-01-01T22:55:57Z,ad,ad_15sec,0.252,20.7,2015-01-01,crosspromo,South Korea
CPZVMGWQSIOH132,CPZVMGWQSIOH132-93jqnm5d,2015-01-01T22:42:33Z,2015-01-01T22:58:45Z,ad,ad_15sec,0.32199999999999995,20.7,2015-01-01,crosspromo,South Korea
QJGVOBLATIHW457,QJGVOBLATIHW457-8axh51bv,2015-01-02T01:02:06Z,2015-01-02T01:09:48Z,iap,offer2,9.99,30.5,2015-01-02,other_campaign,Sweden
QJGVOBLATIHW457,QJGVOBLATIHW457-8axh51bv,2015-01-02T01:02:06Z,2015-01-02T01:13:54Z,iap,gems2,9.99,30.5,2015-01-02,other_campaign,Sweden
QJGVOBLATIHW457,QJGVOBLATIHW457-8axh51bv,2015-01-02T01:02:06Z,2015-01-02T01:23:18Z,ad,ad_5sec,0.132,30.5,2015-01-02,other_campaign,Sweden
QJGVOBLATIHW457,QJGVOBLATIHW457-8axh51bv,2015-01-02T01:02:06Z,2015-01-02T01:26:06Z,ad,ad_5sec,0.08800000000000001,30.5,2015-01-02,other_campaign,Sweden
ECPANOIXLZHF896,ECPANOIXLZHF896-xeb1mi4r,2015-01-02T02:41:57Z,2015-01-02T02:46:27Z,iap,gems4,53.991,28.3,2015-01-01,google,Germany
ECPANOIXLZHF896,ECPANOIXLZHF896-xeb1mi4r,2015-01-02T02:41:57Z,2015-01-02T02:50:27Z,ad,ad_5sec,0.02,28.3,2015-01-01,google,Germany
ECPANOIXLZHF896,ECPANOIXLZHF896-xeb1mi4r,2015-01-02T02:41:57Z,2015-01-02T02:58:15Z,ad,ad_20sec,0.53,28.3,2015-01-01,google,Germany
ECPANOIXLZHF896,ECPANOIXLZHF896-xeb1mi4r,2015-01-02T02:41:57Z,2015-01-02T02:59:15Z,iap,offer3,13.491,28.3,2015-01-01,google,Germany
ECPANOIXLZHF896,ECPANOIXLZHF896-xeb1mi4r,2015-01-02T02:41:57Z,2015-01-02T03:04:03Z,iap,gems4,53.991,28.3,2015-01-01,google,Germany
ECPANOIXLZHF896,ECPANOIXLZHF896-xeb1mi4r,2015-01-02T02:41:57Z,2015-01-02T03:04:15Z,ad,ad_5sec,0.03,28.3,2015-01-01,google,Germany
ECPANOIXLZHF896,ECPANOIXLZHF896-xeb1mi4r,2015-01-02T02:41:57Z,2015-01-02T03:04:51Z,ad,ad_15sec,0.38,28.3,2015-01-01,google,Germany
ECPANOIXLZHF896,ECPANOIXLZHF896-xeb1mi4r,2015-01-02T02:41:57Z,2015-01-02T03:06:33Z,iap,offer5,26.090999999999998,28.3,2015-01-01,google,Germany
FXWUORGYNJAE271,FXWUORGYNJAE271-8k3jbsxo,2015-01-02T03:50:27Z,2015-01-02T03:52:51Z,ad,ad_5sec,0.12,15.5,2015-01-01,organic,Canada
FXWUORGYNJAE271,FXWUORGYNJAE271-8k3jbsxo,2015-01-02T03:50:27Z,2015-01-02T03:53:33Z,iap,offer5,20.293,15.5,2015-01-01,organic,Canada
FXWUORGYNJAE271,FXWUORGYNJAE271-8k3jbsxo,2015-01-02T03:50:27Z,2015-01-02T03:59:45Z,ad,ad_5sec,0.12,15.5,2015-01-01,organic,Canada
FXWUORGYNJAE271,FXWUORGYNJAE271-8k3jbsxo,2015-01-02T03:50:27Z,2015-01-02T04:04:21Z,ad,ad_5sec,0.05,15.5,2015-01-01,organic,Canada
FXWUORGYNJAE271,FXWUORGYNJAE271-z834ktfp,2015-01-02T08:42:40Z,2015-01-02T08:45:52Z,ad,ad_5sec,0.03,37,2015-01-01,organic,Canada
FXWUORGYNJAE271,FXWUORGYNJAE271-z834ktfp,2015-01-02T08:42:40Z,2015-01-02T09:00:16Z,ad,ad_5sec,0.07,37,2015-01-01,organic,Canada
FXWUORGYNJAE271,FXWUORGYNJAE271-z834ktfp,2015-01-02T08:42:40Z,2015-01-02T09:05:52Z,iap,offer5,20.293,37,2015-01-01,organic,Canada
FXWUORGYNJAE271,FXWUORGYNJAE271-z834ktfp,2015-01-02T08:42:40Z,2015-01-02T09:09:28Z,ad,ad_5sec,0.08,37,2015-01-01,organic,Canada
FXWUORGYNJAE271,FXWUORGYNJAE271-z834ktfp,2015-01-02T08:42:40Z,2015-01-02T09:13:28Z,iap,gems5,90.99300000000001,37,2015-01-01,organic,Canada
FXWUORGYNJAE271,FXWUORGYNJAE271-z834ktfp,2015-01-02T08:42:40Z,2015-01-02T09:15:40Z,ad,ad_5sec,0.1,37,2015-01-01,organic,Canada
CPZVMGWQSIOH132,CPZVMGWQSIOH132-qlop63y5,2015-01-02T09:50:08Z,2015-01-02T09:57:26Z,ad,ad_15sec,0.105,28.6,2015-01-01,crosspromo,South Korea
CPZVMGWQSIOH132,CPZVMGWQSIOH132-qlop63y5,2015-01-02T09:50:08Z,2015-01-02T10:17:38Z,ad,ad_30sec,0.84,28.6,2015-01-01,crosspromo,South Korea
CPZVMGWQSIOH132,CPZVMGWQSIOH132-qlop63y5,2015-01-02T09:50:08Z,2015-01-02T10:18:02Z,ad,ad_10sec,0.13299999999999998,28.6,2015-01-01,crosspromo,South Korea
FXWUORGYNJAE271,FXWUORGYNJAE271-3l9cv8bs,2015-01-02T12:29:40Z,2015-01-02T12:35:04Z,ad,ad_5sec,0.03,33.2,2015-01-01,organic,Canada
FXWUORGYNJAE271,FXWUORGYNJAE271-3l9cv8bs,2015-01-02T12:29:40Z,2015-01-02T12:39:34Z,ad,ad_5sec,0.02,33.2,2015-01-01,organic,Canada
FXWUORGYNJAE271,FXWUORGYNJAE271-3l9cv8bs,2015-01-02T12:29:40Z,2015-01-02T12:41:10Z,ad,ad_30sec,1.0699999999999998,33.2,2015-01-01,organic,Canada
FXWUORGYNJAE271,FXWUORGYNJAE271-3l9cv8bs,2015-01-02T12:29:40Z,2015-01-02T12:59:04Z,ad,ad_5sec,0.08,33.2,2015-01-01,organic,Canada
FXWUORGYNJAE271,FXWUORGYNJAE271-3l9cv8bs,2015-01-02T12:29:40Z,2015-01-02T13:01:40Z,ad,ad_20sec,1.1600000000000001,33.2,2015-01-01,organic,Canada
